Name,Team,Number,Position,Age,Height,Weight,College,Salary
Alex Stepheson,Memphis Grizzlies,35,PF,28,6-10,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,28,6-10,210,North Carolina,5464000
Ryan Anderson,New Orleans Pelicans,33,PF,28,6-10,240,California,8500000
Anthony Davis,New Orleans Pelicans,23,PF,23,6-10,253,Kentucky,7070730
Kendrick Perkins,New Orleans Pelicans,5,C,31,6-10,270,,947276
Matt Bonner,San Antonio Spurs,15,C,36,6-10,235,Florida,947276
Al Horford,Atlanta Hawks,15,C,30,6-10,245,Florida,12000000
Al Jefferson,Charlotte Hornets,25,C,31,6-10,289,,13500000
Josh McRoberts,Miami Heat,4,PF,29,6-10,240,Duke,5543725
Amar'e Stoudemire,Miami Heat,5,PF,33,6-10,245,,947276
Ersan Ilyasova,Orlando Magic,7,PF,29,6-10,235,,7900000
Drew Gooden,Washington Wizards,90,PF,34,6-10,250,Kansas,3300000
Markieff Morris,Washington Wizards,5,PF,26,6-10,245,Kansas,8000000
Danilo Gallinari,Denver Nuggets,8,SF,27,6-10,225,,14000000
Nikola Jokic,Denver Nuggets,15,C,21,6-10,250,,1300000
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,6-10,240,,3950001
Adreian Payne,Minnesota Timberwolves,33,PF,25,6-10,237,Michigan State,1938840
Greg Smith,Minnesota Timberwolves,4,PF,25,6-10,250,Fresno State,
Nick Collison,Oklahoma City Thunder,4,PF,35,6-10,255,Kansas,3750000
Serge Ibaka,Oklahoma City Thunder,9,PF,26,6-10,245,,12250000
Mitch McGary,Oklahoma City Thunder,33,PF,24,6-10,255,Michigan,1463040
Nazr Mohammed,Oklahoma City Thunder,13,C,38,6-10,250,Kentucky,222888
Ed Davis,Portland Trail Blazers,17,C,27,6-10,240,North Carolina,6980802
Derrick Favors,Utah Jazz,15,PF,24,6-10,265,Georgia Tech,12000000
Trey Lyles,Utah Jazz,41,PF,20,6-10,234,Kentucky,2239800
Chris McCullough,Brooklyn Nets,1,PF,21,6-11,200,Syracuse,1140240
Nerlens Noel,Philadelphia 76ers,4,PF,22,6-11,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,6-11,275,Duke,4582680
Christian Wood,Philadelphia 76ers,35,PF,20,6-11,220,UNLV,525093
Jason Thompson,Toronto Raptors,1,PF,29,6-11,250,Rider,245177
Festus Ezeli,Golden State Warriors,31,C,26,6-11,265,Vanderbilt,2008748
Anderson Varejao,Golden State Warriors,18,PF,33,6-11,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,6-11,250,Kansas,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,6-11,265,Texas A&M,19689000
Ryan Kelly,Los Angeles Lakers,4,PF,25,6-11,230,Duke,1724250
DeMarcus Cousins,Sacramento Kings,15,C,25,6-11,270,Kentucky,15851950
Joakim Noah,Chicago Bulls,13,C,31,6-11,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,21,6-11,230,Arkansas,1391160
Channing Frye,Cleveland Cavaliers,9,PF,33,6-11,255,Arizona,8193029
Sasha Kaun,Cleveland Cavaliers,14,C,31,6-11,260,Kansas,1276000
Andre Drummond,Detroit Pistons,0,C,22,6-11,279,Connecticut,3272091
Ian Mahinmi,Indiana Pacers,28,C,29,6-11,250,,4000000
Myles Turner,Indiana Pacers,33,PF,20,6-11,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,6-11,250,Western Michigan,845059
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,6-11,222,,1953960
John Henson,Milwaukee Bucks,31,PF,25,6-11,229,North Carolina,2943221
Greg Monroe,Milwaukee Bucks,15,C,26,6-11,265,Georgetown,16407500
Miles Plumlee,Milwaukee Bucks,18,C,27,6-11,249,Duke,2109294
Zaza Pachulia,Dallas Mavericks,27,C,32,6-11,275,,5200000
Dwight Powell,Dallas Mavericks,7,PF,24,6-11,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,6-11,232,Connecticut,947276
Dwight Howard,Houston Rockets,12,C,30,6-11,265,,22359364
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,6-11,240,Texas,19689000
Tim Duncan,San Antonio Spurs,21,C,40,6-11,250,Wake Forest,5250000
Mike Muscala,Atlanta Hawks,31,PF,24,6-11,240,Bucknell,947276
Tiago Splitter,Atlanta Hawks,11,C,31,6-11,245,,9756250
Chris Bosh,Miami Heat,1,PF,32,6-11,235,Georgia Tech,22192730
Marcin Gortat,Washington Wizards,13,C,32,6-11,240,,11217391
Nene Hilario,Washington Wizards,42,C,33,6-11,250,,13000000
Joffrey Lauvergne,Denver Nuggets,77,C,24,6-11,220,,1709719
Gorgui Dieng,Minnesota Timberwolves,5,C,26,6-11,241,Louisville,1474440
Kevin Garnett,Minnesota Timberwolves,21,PF,40,6-11,240,,8500000
Nikola Pekovic,Minnesota Timberwolves,14,C,30,6-11,307,,12100000
Enes Kanter,Oklahoma City Thunder,11,C,24,6-11,245,Kentucky,16407500
Mason Plumlee,Portland Trail Blazers,24,C,26,6-11,235,Duke,1415520
Kelly Olynyk,Boston Celtics,41,C,25,7-1,238,Gonzaga,2165160
Tyler Zeller,Boston Celtics,44,C,26,7-1,253,North Carolina,2616975
Brook Lopez,Brooklyn Nets,11,C,28,7-1,275,Stanford,19689000
Robin Lopez,New York Knicks,8,C,28,7-1,255,Stanford,12650000
Joel Embiid,Philadelphia 76ers,21,C,22,7-1,250,Kansas,4626960
Lucas Nogueira,Toronto Raptors,92,C,23,7-1,220,,1842000
Jonas Valanciunas,Toronto Raptors,17,C,24,7-1,255,,4660482
Andrew Bogut,Golden State Warriors,12,C,31,7-1,260,Utah,13800000
Robert Sacre,Los Angeles Lakers,50,C,27,7-1,270,Gonzaga,981348
Tyson Chandler,Phoenix Suns,4,C,33,7-1,240,,13000000
Alex Len,Phoenix Suns,21,C,22,7-1,260,Maryland,3807120
Willie Cauley-Stein,Sacramento Kings,0,C,22,7-1,240,Kentucky,3398280
Kosta Koufos,Sacramento Kings,41,C,27,7-1,265,Ohio State,7700000
Pau Gasol,Chicago Bulls,16,C,35,7-1,250,,7448760
Timofey Mozgov,Cleveland Cavaliers,20,C,29,7-1,275,,4950000
JaVale McGee,Dallas Mavericks,11,C,28,7-1,270,Nevada,1270964
Dirk Nowitzki,Dallas Mavericks,41,PF,37,7-1,245,,8333334
Donatas Motiejunas,Houston Rockets,20,PF,25,7-1,222,,2288205
Marc Gasol,Memphis Grizzlies,33,C,31,7-1,255,,19688000
Omer Asik,New Orleans Pelicans,3,C,29,7-1,255,,9213483
Spencer Hawes,Charlotte Hornets,0,PF,28,7-1,245,Washington,6110034
Frank Kaminsky III,Charlotte Hornets,44,C,23,7-1,240,Wisconsin,2612520
Cody Zeller,Charlotte Hornets,40,C,23,7-1,240,Indiana,4204200
Hassan Whiteside,Miami Heat,21,C,26,7-1,265,Marshall,981348
Dewayne Dedmon,Orlando Magic,3,C,26,7-1,245,USC,947276
Jason Smith,Orlando Magic,14,PF,30,7-1,240,Colorado State,4300000
Nikola Vucevic,Orlando Magic,9,C,25,7-1,260,USC,11250000
Jusuf Nurkic,Denver Nuggets,23,C,21,7-1,280,,1842000
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-1,244,Kentucky,5703600
Steven Adams,Oklahoma City Thunder,12,C,22,7-1,255,Pittsburgh,2279040
Chris Kaman,Portland Trail Blazers,35,C,34,7-1,265,Central Michigan,5016000
Meyers Leonard,Portland Trail Blazers,11,PF,24,7-1,245,Illinois,3075880
Rudy Gobert,Utah Jazz,27,C,23,7-1,245,,1175880
Jeff Withey,Utah Jazz,24,C,26,7-1,231,Kansas,947276
Roy Hibbert,Los Angeles Lakers,17,C,29,7-2,270,Georgetown,15592217
Salah Mejri,Dallas Mavericks,50,C,29,7-2,245,,525093
Alexis Ajinca,New Orleans Pelicans,42,C,28,7-2,248,,4389607
Kristaps Porzingis,New York Knicks,6,PF,20,7-3,240,,4131720
Boban Marjanovic,San Antonio Spurs,40,C,27,7-3,290,,1200000
Walter Tavares,Atlanta Hawks,22,C,24,7-3,260,,1000000
Tibor Pleiss,Utah Jazz,21,C,26,7-3,256,,2900000
